Sample_ID,Replicate,Lithology ,Mineralogy,Phase,Analytical_Method,Chemistry,d33,d33_2sd,d34,sig_d34s,d36,d36_2sd,D33S,sig_D33S,D36S,sig_D36S,age_max,age_min,age_mean,Age_uncertainty,Age_method,age_source,Craton,Supergroup ,Group ,Subgroup,Formation ,Member,GSDBFM,Core,core_rim,Depth,Source,DOI,Publication_Date,NON_ATM_FLAG,MC_comment
190583B@1,,,pyrite,Sulfide,SIMS,,9.29,0.94,5.88,1.52,,,6.27,0.33,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190583B@2,,,pyrite,Sulfide,SIMS,,9.1,0.96,5.82,1.52,,,6.12,0.37,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190583B@3,,,pyrite,Sulfide,SIMS,,9.1,0.96,5.61,1.52,,,6.22,0.37,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190583C,,,pyrite,Sulfide,SIMS,,0.75,0.98,1.16,1.52,,,0.16,0.43,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190583E,,,pyrite,Sulfide,SIMS,,-3.3,0.97,-6.58,1.52,,,0.11,0.39,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
194504A@1,,,pyrite,Sulfide,SIMS,,-0.48,0.84,-1.07,1.15,,,-0.01,0.48,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
194504B@1,,,pyrite,Sulfide,SIMS,,0.92,0.82,1.23,1.15,,,0.2,0.45,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
194504C@1,,,pyrite,Sulfide,SIMS,,0.68,0.81,0.98,1.15,,,0.09,0.42,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
194504E@1,,,pyrite,Sulfide,SIMS,,0.59,0.81,0.55,1.15,,,0.22,0.43,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
194504E@2,,,pyrite,Sulfide,SIMS,,0.24,0.81,0.06,1.15,,,0.13,0.43,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
194504E@3,,,pyrite,Sulfide,SIMS,,0.37,0.81,0.11,1.15,,,0.23,0.43,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
194504E@4,,,pyrite,Sulfide,SIMS,,-1.87,0.83,-3.95,1.15,,,0.08,0.45,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
194504F@1,,,pyrite,Sulfide,SIMS,,0.42,0.81,0.97,1.15,,,-0.17,0.43,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
194504F@2,,,pyrite,Sulfide,SIMS,,0.31,0.81,0.11,1.15,,,0.18,0.43,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
Ch_9_7,,,Whole Rock,Mixed,Bulk SF6,,,,-19.5,0.1,,,0.07,0.02,-1.13,0.13,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_10_3,,,Whole Rock,Mixed,Bulk SF6,,,,-32,0.1,,,0.07,0.01,-0.65,0.1,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_10_9,,,Whole Rock,Mixed,Bulk SF6,,,,-10.4,0.1,,,0.06,0.02,-1.18,0.11,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_12_8,,,Whole Rock,Mixed,Bulk SF6,,,,-26.7,0.1,,,0.02,0.01,-0.38,0.11,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_13_5,,,Whole Rock,Mixed,Bulk SF6,,,,-26.8,0.1,,,0.04,0.02,-1.4,0.1,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_14_5,,,Whole Rock,Mixed,Bulk SF6,,,,-27.1,0.1,,,0.05,0.01,-0.55,0.17,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_15_1,,,Whole Rock,Mixed,Bulk SF6,,,,-31.9,0.1,,,0.07,0.02,-1.49,0.11,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_16_5,,,Whole Rock,Mixed,Bulk SF6,,,,-28.1,0.1,,,0.05,0.02,-0.24,0.13,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_17_9,,,Whole Rock,Mixed,Bulk SF6,,,,-26.4,0.1,,,0.04,0.01,-0.3,0.1,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_18_5,,,Whole Rock,Mixed,Bulk SF6,,,,-24.6,0.1,,,0.04,0.02,-0.14,0.16,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_19_0,,,Whole Rock,Mixed,Bulk SF6,,,,-26.1,0.1,,,0.02,0.01,-1.25,0.1,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_20_0,,,Whole Rock,Mixed,Bulk SF6,,,,-31.3,0.1,,,0.07,0.03,-1.38,0.13,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_21_1,,,Whole Rock,Mixed,Bulk SF6,,,,-25.8,0.1,,,0.01,0.01,-0.38,0.15,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_22_0,,,Whole Rock,Mixed,Bulk SF6,,,,-22.5,0.1,,,0.02,0.01,-1.08,0.1,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_22_6,,,Whole Rock,Mixed,Bulk SF6,,,,-25.2,0.1,,,0.03,0.01,-0.34,0.11,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_23_0,,,Whole Rock,Mixed,Bulk SF6,,,,-29.4,0.1,,,0.03,0.01,2.63,0.13,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,outlier,
Ch_23_6,,,Whole Rock,Mixed,Bulk SF6,,,,-24,0.1,,,0.01,0.03,-0.86,0.1,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_24_0,,,Whole Rock,Mixed,Bulk SF6,,,,-26.3,0.1,,,0.03,0.01,-0.26,0.1,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_24_5,,,Whole Rock,Mixed,Bulk SF6,,,,-20.9,0.1,,,0.02,0.02,-0.9,0.12,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_25_5,,,Whole Rock,Mixed,Bulk SF6,,,,-23.6,0.1,,,0.02,0.02,-1.37,0.13,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_27_0,,,Whole Rock,Mixed,Bulk SF6,,,,5.7,0.1,,,-0.03,0.02,-0.37,0.17,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_27_5,,,Whole Rock,Mixed,Bulk SF6,,,,6.2,0.1,,,-0.03,0.02,0.42,0.1,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_29_0,,,Whole Rock,Mixed,Bulk SF6,,,,-17.5,0.1,,,-0.03,0.02,0.33,0.1,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_29_7,,,Whole Rock,Mixed,Bulk SF6,,,,-7.8,0.1,,,-0.02,0.01,0.67,0.14,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_30_7,,,Whole Rock,Mixed,Bulk SF6,,,,-6.4,0.1,,,-0.04,0.01,-0.54,0.12,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_31_7,,,Whole Rock,Mixed,Bulk SF6,,,,-7.3,0.1,,,0,0.04,-0.8,0.21,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_32_2,,,Whole Rock,Mixed,Bulk SF6,,,,-11.2,0.1,,,-0.03,0.01,0.85,0.1,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_32_7,,,Whole Rock,Mixed,Bulk SF6,,,,-17,0.1,,,-0.03,0.02,-0.85,0.17,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_34_0,,,Whole Rock,Mixed,Bulk SF6,,,,-9.3,0.1,,,-0.04,0.02,0.66,0.1,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_35_4,,,Whole Rock,Mixed,Bulk SF6,,,,-4.9,0.1,,,-0.04,0.02,-0.57,0.15,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_36_5,,,Whole Rock,Mixed,Bulk SF6,,,,-11.8,0.1,,,-0.06,0.02,0.3,0.12,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
Ch_38_1,,,Whole Rock,Mixed,Bulk SF6,,,,-15.9,0.1,,,-0.05,0.02,-0.76,0.11,,,326,0.5,Fossils,,,,,,,,Chokier Formation,,,,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,,OK,
30-Apr,,,pyrite,Sulfide,Bulk SF6,,,,-30.41,0.2,,,0.06,0.01,-1.14,0.2,,,251.88,0.03,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
30-Mar,,,pyrite,Sulfide,Bulk SF6,,,,-32.37,0.2,,,0.08,0.01,-1.42,0.2,,,251.88,0.03,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
30-2,,,pyrite,Sulfide,Bulk SF6,,,,-27.32,0.2,,,0.06,0.01,-1.14,0.2,,,251.88,0.03,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
30-Jan,,,pyrite,Sulfide,Bulk SF6,,,,-34.73,0.2,,,0.11,0.01,-0.69,0.2,,,251.88,0.03,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
29-Mar,,,pyrite,Sulfide,Bulk SF6,,,,-31.39,0.2,,,0.07,0.01,-1.14,0.2,,,251.88,0.03,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
29-2-C,,,pyrite,Sulfide,Bulk SF6,,,,-25.54,0.2,,,0.08,0.01,-0.8,0.2,,,251.88,0.03,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
29-2-B,,,pyrite,Sulfide,Bulk SF6,,,,-32.92,0.2,,,0.08,0.01,-0.45,0.2,,,251.88,0.03,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
29-2-A,,,pyrite,Sulfide,Bulk SF6,,,,-20.96,0.2,,,0.01,0.01,-0.41,0.2,,,251.88,0.03,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
29-Jan,,,pyrite,Sulfide,Bulk SF6,,,,-28.16,0.2,,,0,0.01,-0.94,0.2,,,251.88,0.03,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
27-C,,,pyrite,Sulfide,Bulk SF6,,,,-31.2,0.2,,,0.07,0.01,-0.75,0.2,,,251.94,0.04,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
27-B,,,pyrite,Sulfide,Bulk SF6,,,,-34.6,0.2,,,0.1,0.01,-0.74,0.2,,,251.94,0.04,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
27-A,,,pyrite,Sulfide,Bulk SF6,,,,-30.7,0.2,,,0.06,0.01,-0.46,0.2,,,251.94,0.04,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
26,,,pyrite,Sulfide,Bulk SF6,,,,-33.72,0.2,,,0.03,0.01,-0.95,0.2,,,251.94,0.04,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
25-26-3A,,,pyrite,Sulfide,Bulk SF6,,,,-27.35,0.2,,,0.05,0.01,-0.62,0.2,,,251.94,0.04,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
25-26-2A,,,pyrite,Sulfide,Bulk SF6,,,,-24.78,0.2,,,0.1,0.01,-0.48,0.2,,,251.94,0.04,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
25-26-1A,,,pyrite,Sulfide,Bulk SF6,,,,-28.27,0.2,,,0.05,0.01,-0.87,0.2,,,251.94,0.04,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
25-3A,,,pyrite,Sulfide,Bulk SF6,,,,-26.03,0.2,,,0.04,0.01,-0.83,0.2,,,251.94,0.04,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
25-2A,,,pyrite,Sulfide,Bulk SF6,,,,-25.8,0.2,,,0.04,0.01,-0.52,0.2,,,251.94,0.04,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
25-1A,,,pyrite,Sulfide,Bulk SF6,,,,-30.93,0.2,,,0.08,0.01,-0.53,0.2,,,251.94,0.04,Fossils,,,,,,,,Yinkeng Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24-e5,,,pyrite,Sulfide,Bulk SF6,,,,-17.54,0.2,,,0.12,0.01,-0.9,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24(e2-4),,,pyrite,Sulfide,Bulk SF6,,,,-19.94,0.2,,,0.11,0.01,-0.53,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24 (e1),,,pyrite,Sulfide,Bulk SF6,,,,2.88,0.2,,,-0.05,0.01,0,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24-D11,,,pyrite,Sulfide,Bulk SF6,,,,-33.01,0.2,,,0.05,0.01,-0.28,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24-D10,,,pyrite,Sulfide,Bulk SF6,,,,-22.54,0.2,,,0.07,0.01,-0.7,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24-D9,,,pyrite,Sulfide,Bulk SF6,,,,-17.17,0.2,,,0,0.01,-0.29,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24-D8,,,pyrite,Sulfide,Bulk SF6,,,,-23.49,0.2,,,0.02,0.01,-0.47,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24-D6,,,pyrite,Sulfide,Bulk SF6,,,,-17.82,0.2,,,-0.03,0.01,0.08,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24-D5,,,pyrite,Sulfide,Bulk SF6,,,,-29.87,0.2,,,0.02,0.01,-0.4,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24-D4,,,pyrite,Sulfide,Bulk SF6,,,,-31.68,0.2,,,0.06,0.01,-0.6,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24-D3,,,pyrite,Sulfide,Bulk SF6,,,,-28.68,0.2,,,0.09,0.01,-0.68,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24D2-B,,,pyrite,Sulfide,Bulk SF6,,,,-26.33,0.2,,,0.07,0.01,-0.8,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24-D2-A,,,pyrite,Sulfide,Bulk SF6,,,,-27.07,0.2,,,0.04,0.01,-0.79,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24-D1,,,pyrite,Sulfide,Bulk SF6,,,,-27.7,0.2,,,0.07,0.01,-0.35,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
24-B,,,pyrite,Sulfide,Bulk SF6,,,,-6.26,0.2,,,-0.02,0.01,0.06,0.2,,,251.4,0.3,Magmatic Zircon U-Pb,,,,,,,,Changhsing Formation,,,,Shen et al. 2011,10.1038/ncomms1217,,OK,
